parent_molecule_chembl_id,pref_name,smiles,structure_image_url,pchembl_value,standard_type,standard_relation,standard_value,standard_units,role,best_target,targets_hit,n_targets_hit,assay_chembl_id,assay_type,confidence_score,assay_organism,molecule_chembl_id,target_chembl_id,TAG,standard_inchi_key
CHEMBL5812420,,C[C@H](Nc1nc(C(=O)NCCO)c2sccc2n1)c1ccccn1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5812420.png,7.52,IC50,=,30,nM,antagonist,A2BR,A2AR;A2BR,2,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5812420,CHEMBL255,A2BR,CEWYBWDVZZVMQX-JTQLQIEISA-N
CHEMBL5812643,,Cc1cc(-c2c(-c3ncco3)nc(N)n3nc(Cc4c(F)cccc4F)nc23)cc(C)n1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5812643.png,7.75,IC50,=,18,nM,antagonist,A2AR,A2AR,1,CHEMBL5736162,B,9,Homo sapiens,CHEMBL5812643,CHEMBL251,A2AR,SPQSEZHCCXDHFX-UHFFFAOYSA-N
CHEMBL5813061,,Cc1cc(-c2c(-c3ccc(F)cc3F)nc(N)n3cnnc23)cc(C)n1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813061.png,8.76,IC50,=,1.75,nM,antagonist,A2AR,A2AR,1,CHEMBL5738023,B,9,Homo sapiens,CHEMBL5813061,CHEMBL251,A2AR,SFTVRRODJYZMPO-UHFFFAOYSA-N
CHEMBL5813421,,COc1cc2nc(N)n3nc([C@@H]4CCCN(c5cnn(CC(C)(C)O)c5C)C4)nc3c2cc1F,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813421.png,8.35,IC50,=,4.5,nM,antagonist,A2AR,A2AR;A2BR,2,CHEMBL5738035,B,9,Homo sapiens,CHEMBL5813421,CHEMBL251,A2AR,VYWRIFBJUFTRLB-CQSZACIVSA-N
CHEMBL5813457,,Cc1nccc(-c2c(-c3ccc(F)cc3)nc(N)n3nc(Cc4c(F)cccc4F)nc23)c1C,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813457.png,6.9,IC50,=,125,nM,antagonist,A2BR,A1R;A2AR;A2BR,3,CHEMBL5736166,B,9,Homo sapiens,CHEMBL5813457,CHEMBL255,A2BR,IQQHTQIEBYJKIK-UHFFFAOYSA-N
CHEMBL5813526,,C[C@@H]1CN(c2nsnc2Cl)CCN1Cc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813526.png,8.12,Ki,=,7.5,nM,antagonist,A2AR,A2AR,1,CHEMBL5737048,B,9,Homo sapiens,CHEMBL5813526,CHEMBL251,A2AR,BKLNMARUODVUIB-MRVPVSSYSA-N
CHEMBL5813777,,O=C(NCc1cncc(F)c1)c1nc(NCc2cncc(F)c2)nc2ccsc12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813777.png,6.52,IC50,=,300,nM,antagonist,A2BR,A2BR,1,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5813777,CHEMBL255,A2BR,NKTDYAZSHQPEAG-UHFFFAOYSA-N
CHEMBL5813918,,COc1cccc2c(C(=O)NCc3ccc4ccccc4n3)nc(N)nc12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813918.png,8.82,Ki,=,1.5,nM,antagonist,A2AR,A2AR,1,CHEMBL5731734,B,9,Homo sapiens,CHEMBL5813918,CHEMBL251,A2AR,VXRAHKIEOSPEEV-UHFFFAOYSA-N
CHEMBL5813989,,O=C(NCc1ccccn1)c1nc(NCc2ccccn2)nc2ccsc12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5813989.png,7.12,IC50,=,75,nM,antagonist,A2BR,A2AR;A2BR,2,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5813989,CHEMBL255,A2BR,LOTLPEFBEQGQQR-UHFFFAOYSA-N
CHEMBL5814124,,CN1C(=O)c2c(nc(N)nc2-c2ccco2)C1=Cc1ccc(F)cc1F,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5814124.png,8.06,IC50,=,8.7,nM,antagonist,A2AR,A2AR,1,CHEMBL5736993,B,9,Homo sapiens,CHEMBL5814124,CHEMBL251,A2AR,IUXMETJRDZCSHZ-UHFFFAOYSA-N
CHEMBL5814138,,C[C@H](Cc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4)N1CCc2cccnc21,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5814138.png,8.38,Ki,=,4.2,nM,antagonist,A2AR,A2AR,1,CHEMBL5737048,B,9,Homo sapiens,CHEMBL5814138,CHEMBL251,A2AR,GNTSUIGTYLYKSI-SNVBAGLBSA-N
CHEMBL5814541,,Cc1csc2c(C(=O)N3CC(NC(=O)C(C)(C)C)C3)nc(N[C@@H](C)c3cncc(F)c3)nc12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5814541.png,7.52,IC50,=,30,nM,antagonist,A2BR,A2BR;A3R,2,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5814541,CHEMBL255,A2BR,FJUAALIIBUTYNT-ZDUSSCGKSA-N
CHEMBL5814557,,COc1ccc(CNc2nc3c(OC)cc(F)cc3c3nc([C@H]4C[C@H](F)CN(c5cnn(CC(C)(C)O)c5)C4)nn23)c(OC)c1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5814557.png,7.25,IC50,=,56.9,nM,antagonist,A2AR,A2AR,1,CHEMBL5738035,B,9,Homo sapiens,CHEMBL5814557,CHEMBL251,A2AR,KNQRBVIESPJOCL-FPOVZHCZSA-N
CHEMBL5815310,,COc1cccc2c1nc(N)n1nc([C@@H]3CN(CC(F)F)CC(F)(F)C3)nc21,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5815310.png,8.96,Ki,=,1.1,nM,antagonist,A2AR,A2AR,1,CHEMBL5735982,B,9,Homo sapiens,CHEMBL5815310,CHEMBL251,A2AR,PKPHVIYURJVTMV-VIFPVBQESA-N
CHEMBL5815348,,Nc1nc(-c2ccccc2)c(-c2ccc3ncccc3c2)c2nncn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5815348.png,10.15,IC50,=,0.07,nM,antagonist,A2AR,A1R;A2AR;A3R,3,CHEMBL5738023,B,9,Homo sapiens,CHEMBL5815348,CHEMBL251,A2AR,WKPXEMPFLXSVPV-UHFFFAOYSA-N
CHEMBL5815516,,C[C@H](Nc1nc(C(=O)N2CC[C@@H](CO)C2)c2sccc2n1)c1cccnc1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5815516.png,7.52,IC50,=,30,nM,antagonist,A2BR,A2AR;A2BR,2,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5815516,CHEMBL255,A2BR,SMZVGJGTOMMPJI-QWHCGFSZSA-N
CHEMBL5815554,,Nc1nc2c3c(ccc2c2nc(C4CCCN(CCC(F)(F)F)C4)nn12)OC(F)(F)O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5815554.png,9.1,Ki,=,0.8,nM,antagonist,A2AR,A2AR,1,CHEMBL5737048,B,9,Homo sapiens,CHEMBL5815554,CHEMBL251,A2AR,DEFWYCPHRXWTIF-UHFFFAOYSA-N
CHEMBL5815718,,[2H]C([2H])(NC(=O)c1nc(N)nc2c(OC)cccc12)c1cccc(C([2H])([2H])c2cncc(-c3ncco3)c2)n1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5815718.png,8.68,Ki,=,2.1,nM,antagonist,A2AR,A2AR,1,CHEMBL5731734,B,9,Homo sapiens,CHEMBL5815718,CHEMBL251,A2AR,PHYDLXRCNQOXPK-WDVOAUESSA-N
